carat,cut,color,clarity,depth,table,price,x,y,z
0.28,Ideal,H,VS1,62.1,55.0,476,4.17,4.21,2.6
0.28,Ideal,H,VS1,62.2,54.0,476,4.18,4.21,2.61
0.25,Good,E,VVS2,58.0,65.0,476,4.13,4.18,2.41
0.25,Good,E,VVS2,64.9,58.0,476,3.95,3.97,2.57
0.31,Good,H,VS1,64.1,55.0,476,4.25,4.27,2.73
0.3,Ideal,G,SI1,61.8,56.0,477,4.34,4.37,2.69
0.3,Ideal,G,SI1,62.3,58.0,477,4.26,4.28,2.66
0.3,Ideal,G,SI1,61.0,58.0,477,4.29,4.36,2.64
0.41,Ideal,D,SI1,63.0,57.0,920,4.7,4.64,2.94
0.4,Premium,F,SI1,61.7,62.0,920,4.76,4.71,2.92
0.38,Very Good,D,VS1,59.5,61.0,921,4.66,4.69,2.78
0.32,Very Good,F,IF,61.7,55.0,921,4.4,4.41,2.72
0.42,Ideal,F,VS1,60.6,56.0,921,4.83,4.87,2.94
0.42,Very Good,F,VS1,59.8,57.0,921,4.85,4.89,2.91
0.42,Very Good,G,VS1,62.4,59.0,921,4.78,4.8,2.99
0.35,Very Good,G,VVS1,59.3,61.0,921,4.58,4.62,2.73
0.42,Very Good,H,VVS2,62.4,57.0,921,4.78,4.83,3.0
0.35,Ideal,H,IF,61.7,56.0,921,4.53,4.55,2.8
0.42,Premium,G,VS1,60.8,59.0,921,4.79,4.85,2.93
0.42,Premium,G,VS1,60.9,58.0,921,4.81,4.84,2.94
0.31,Ideal,F,VVS1,62.4,55.0,921,4.32,4.34,2.7
0.39,Very Good,E,VS2,60.4,56.0,921,4.7,4.73,2.85
0.35,Ideal,H,IF,61.9,55.0,921,4.51,4.54,2.8
0.42,Ideal,G,VS1,61.3,57.0,921,4.78,4.81,2.94
0.42,Very Good,H,VVS2,62.9,56.0,921,4.75,4.79,3.0
0.42,Very Good,H,VVS2,62.4,55.0,921,4.78,4.81,2.99
0.42,Ideal,G,VS1,62.5,54.0,921,4.79,4.84,3.01
0.42,Very Good,G,VS1,60.6,58.0,921,4.82,4.95,2.96
0.42,Ideal,G,VS1,61.9,56.0,921,4.77,4.82,2.97
0.42,Ideal,H,VVS2,62.4,56.0,921,4.78,4.8,2.99
0.42,Ideal,G,VS1,61.2,54.0,921,4.82,4.86,2.96
0.42,Ideal,G,VS1,61.8,57.0,921,4.79,4.82,2.97
0.42,Ideal,G,VS1,61.4,56.0,921,4.82,4.85,2.97
0.35,Ideal,H,IF,60.5,56.0,921,4.56,4.59,2.77
0.42,Very Good,G,VS1,59.4,59.0,921,4.86,4.9,2.9
0.42,Premium,G,VS1,62.5,59.0,921,4.72,4.79,2.97
0.42,Premium,G,VS1,60.5,59.0,921,4.79,4.83,2.91
0.42,Ideal,G,VS1,61.8,56.0,921,4.8,4.84,2.98
0.42,Ideal,G,VS1,62.0,55.0,921,4.78,4.83,2.98
0.42,Ideal,G,VS1,62.7,54.0,921,4.8,4.83,3.02
0.41,Ideal,D,VS1,61.6,55.0,921,4.79,4.82,2.96
0.32,Ideal,E,VVS1,61.8,55.0,921,4.4,4.43,2.73
0.37,Ideal,E,VS1,63.3,54.0,921,4.59,4.63,2.91
0.31,Ideal,F,IF,62.2,55.0,921,4.35,4.38,2.71
0.31,Ideal,F,IF,62.3,54.0,921,4.33,4.34,2.7
0.31,Ideal,F,IF,61.2,56.0,921,4.37,4.42,2.69
0.31,Ideal,F,IF,61.1,54.0,921,4.39,4.42,2.69
